id,state,adm1_code,"oat (1,000 bushels)",oat%,"barley (1,000 bushels)",barley%,"wheat (1,000 bushels)",wheat%,"corn (1,000 bushels)",corn%,"cotton (1,000 bales)",cotton%,"rice (1,000 cwt)",rice%,"soybean (1,000 bushels)",soybean%,"peanut (1,000 pounds)",peanut%,"tobacco (1,000 pounds)",tobacco%,"flaxseed (1,000 pounds)",flaxseed%,"potato (1,000 cwt)",potato%,"sugarcane (1,000 tons)",sugarcane%,"chickpeas (1,000 cwt)",chickpea%,"maple (1,000 gallons)",maple%,"taro (1,000 pounds)",taro%,"bean (1,000 cwt)",bean%,"sunflower (1,000 cwt)",sunflower%
1,Alabama,USA-1,0,0,0,0,5040,0.276040354,50560,0.356496209,735,4.915401592,108107,47.50222996,11275,0.272640859,637000,10.38491009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Alaska,USA-2,0,0,215,0.130047664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Arizona,USA-3,0,0,976,0.590355907,4257,0.233155514,5858,0.041304486,339,2.267103591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Arkansas,USA-4,320,0.48963354,0,0,4125,0.225925885,111320,0.784912144,1300,8.693907577,0,0,139000,3.361160031,182400,2.973638305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,California,USA-5,300,0.459031444,1457,0.881299751,7740,0.423919116,11220,0.079111698,606,4.052698455,44810,19.68951987,0,0,0,0,0,0,48645,32.91271989,12560,3.032000154,0,0,219,5.125204774,0,0,0,0,695,2.108424597,56690,1.90081176
6,Colorado,USA-6,0,0,6525,3.946795384,41040,2.247757172,122960,0.866985243,0,0,0,0,0,0,0,0,0,0,0,0,23134,5.584577355,0,0,0,0,0,0,0,0,1069,3.243030064,46110,1.546065095
7,Connecticut,USA-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Delaware,USA-8,0,0,1260,0.762139798,4015,0.219901195,28160,0.198554851,0,0,0,0,7252,0.175360666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Florida,USA-9,0,0,0,0,0,0,8418,0.059354927,125,0.835952652,0,0,0,0,561000,9.145894129,0,0,0,0,5450,1.31563701,18227,51.40592831,0,0,0,0,0,0,0,0,0,0
10,Georgia,USA-10,1080,1.652513197,0,0,4675,0.256049337,70200,0.494976936,2180,14.57901424,0,0,3895,0.094185024,3280000,53.4733204,19276,4.950014509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Hawaii,USA-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2985,100,0,0,0,0
12,Idaho,USA-12,1428,2.184989672,55000,33.26800706,112506,6.161943675,25870,0.182408167,0,0,0,0,0,0,0,0,0,0,23320,15.77807848,134775,32.53485835,0,0,920,21.5305406,0,0,0,0,1592,4.829657495,0,0
13,Illinois,USA-13,870,1.331191187,0,0,35360,1.936664074,2131200,15.02699211,0,0,0,0,604750,14.62346423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Indiana,USA-14,0,0,0,0,17500,0.958473453,981750,6.922273603,0,0,0,0,329440,7.966191083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Iowa,USA-15,5694,8.712416801,0,0,0,0,2296200,16.19039944,0,0,0,0,493960,11.94445042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Kansas,USA-16,832,1.273047204,306,0.185091094,281250,15.40403764,766480,5.404414842,320,2.140038788,0,0,190350,4.602854761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102540,3.438159073
17,Kentucky,USA-17,0,0,0,0,21420,1.173171507,253920,1.790378114,0,0,0,0,101200,2.44711795,0,0,107235,27.53760147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Louisiana,USA-18,0,0,0,0,0,0,87785,0.618967953,350,2.340667425,32306,14.19526063,54060,1.307225261,0,0,0,0,0,0,0,0,16002,45.13072172,0,0,0,0,0,0,0,0,0,0
19,Maine,USA-19,1386,2.12072527,756,0.457283879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12,878",3.108765764,0,0,0,0,590,13.49496798,0,0,0,0,0,0
20,Maryland,USA-20,0,0,1533,0.927270088,10950,0.599730532,66650,0.469946051,0,0,0,0,21855,0.528475917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Massachusetts,USA-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Michigan,USA-22,1650,2.52467294,448,0.270983039,33750,1.848484517,306460,2.160835211,0,0,0,0,102930,2.488951093,0,0,0,0,0,0,17860,4.311426971,0,0,0,0,170,3.888380604,0,0,6033,18.30233899,0,0
23,Minnesota,USA-23,10560,16.15790682,2350,1.421451211,72080,3.947815228,1441920,10.16691088,0,0,0,0,359170,8.685092433,0,0,0,0,0,0,17638,4.257835886,0,0,0,0,0,0,0,0,5525,16.76121712,137640,4.615059633
